redteam_id,redteam_time,redteam_user,src_user,dst_user,src_computer,dst_computer,auth_type,logon_type,auth_orientation,success
1,150885,U620@DOM1,U620@DOM1,U620@DOM1,C17693,C1003,NTLM,Network,LogOn,Success
2,151036,U748@DOM1,U748@DOM1,U748@DOM1,C17693,C305,NTLM,Network,LogOn,Success
3,151648,U748@DOM1,U748@DOM1,U748@DOM1,C17693,C728,NTLM,Network,LogOn,Success
4,151993,U6115@DOM1,U6115@DOM1,U6115@DOM1,C17693,C1173,NTLM,Network,LogOn,Success
5,153792,U636@DOM1,U636@DOM1,U636@DOM1,C17693,C294,NTLM,Network,LogOn,Success
6,155219,U748@DOM1,U748@DOM1,U748@DOM1,C17693,C5693,NTLM,Network,LogOn,Success
7,155399,U748@DOM1,U748@DOM1,U748@DOM1,C17693,C152,NTLM,Network,LogOn,Success
8,155460,U748@DOM1,U748@DOM1,U748@DOM1,C17693,C2341,NTLM,Network,LogOn,Success
9,155591,U748@DOM1,U748@DOM1,U748@DOM1,C17693,C332,NTLM,Network,LogOn,Success
10,156658,U748@DOM1,U748@DOM1,U748@DOM1,C17693,C4280,NTLM,Network,LogOn,Success
