redteam_id,redteam_time,redteam_user,redteam_src_computer,redteam_dst_computer,process_time,time_difference_seconds,process_user,computer,host_role,same_user_as_redteam,process,event_type
1,150885,U620@DOM1,C17693,C1003,150663,222,C1003$@DOM1,C1003,destination_host,False,P7,End
1,150885,U620@DOM1,C17693,C1003,150663,222,C1003$@DOM1,C1003,destination_host,False,P7,Start
2,151036,U748@DOM1,C17693,C305,150782,254,C305$@DOM1,C305,destination_host,False,P8,End
2,151036,U748@DOM1,C17693,C305,150932,104,C305$@DOM1,C305,destination_host,False,P16,Start
2,151036,U748@DOM1,C17693,C305,150936,100,C305$@DOM1,C305,destination_host,False,P16,End
2,151036,U748@DOM1,C17693,C305,150956,80,C305$@DOM1,C305,destination_host,False,P25,End
2,151036,U748@DOM1,C17693,C305,150956,80,C305$@DOM1,C305,destination_host,False,P25,Start
2,151036,U748@DOM1,C17693,C305,150956,80,C305$@DOM1,C305,destination_host,False,P5,End
2,151036,U748@DOM1,C17693,C305,150956,80,C305$@DOM1,C305,destination_host,False,P5,Start
2,151036,U748@DOM1,C17693,C305,151038,2,C305$@DOM1,C305,destination_host,False,P4,Start
2,151036,U748@DOM1,C17693,C305,151038,2,C305$@DOM1,C305,destination_host,False,P8278,End
2,151036,U748@DOM1,C17693,C305,151038,2,C305$@DOM1,C305,destination_host,False,P8278,Start
2,151036,U748@DOM1,C17693,C305,151124,88,C305$@DOM1,C305,destination_host,False,P16,Start
2,151036,U748@DOM1,C17693,C305,151124,88,C305$@DOM1,C305,destination_host,False,P1645,Start
2,151036,U748@DOM1,C17693,C305,151124,88,C305$@DOM1,C305,destination_host,False,P8271,Start
2,151036,U748@DOM1,C17693,C305,151126,90,C305$@DOM1,C305,destination_host,False,P1645,End
2,151036,U748@DOM1,C17693,C305,151126,90,C305$@DOM1,C305,destination_host,False,P5,Start
2,151036,U748@DOM1,C17693,C305,151126,90,U748@DOM1,C305,destination_host,True,P5,End
2,151036,U748@DOM1,C17693,C305,151126,90,U748@DOM1,C305,destination_host,True,P8271,End
2,151036,U748@DOM1,C17693,C305,151130,94,C305$@DOM1,C305,destination_host,False,P16,End
