event_id,source_row,time,user,src_computer,dst_computer,processed_match_count,preserved
0,1,150885,U620@DOM1,C17693,C1003,1,1
1,2,151036,U748@DOM1,C17693,C305,1,1
2,3,151648,U748@DOM1,C17693,C728,1,1
3,4,151993,U6115@DOM1,C17693,C1173,1,1
4,5,153792,U636@DOM1,C17693,C294,1,1
5,6,155219,U748@DOM1,C17693,C5693,1,1
6,7,155399,U748@DOM1,C17693,C152,1,1
7,8,155460,U748@DOM1,C17693,C2341,1,1
8,9,155591,U748@DOM1,C17693,C332,1,1
9,10,156658,U748@DOM1,C17693,C4280,1,1
10,11,210086,U748@DOM1,C18025,C1493,1,1
11,12,210294,U748@DOM1,C18025,C1493,1,1
12,13,210312,U748@DOM1,C18025,C1493,1,1
13,14,218418,U748@DOM1,C17693,C504,1,1
14,15,227052,U748@DOM1,C17693,C148,1,1
15,16,227408,U748@DOM1,C17693,C148,1,1
16,17,227520,U748@DOM1,C17693,C148,1,1
17,18,227780,U748@DOM1,C17693,C148,1,1
18,19,228024,U748@DOM1,C17693,C148,1,1
19,20,228150,U748@DOM1,C17693,C148,1,1
20,21,228642,U1723@DOM1,C17693,C231,1,1
21,22,228658,U1723@DOM1,C17693,C231,1,1
22,23,229046,U1723@DOM1,C17693,C231,1,1
23,24,230395,U1723@DOM1,C17693,C1003,1,1
24,25,234667,U748@DOM1,C17693,C504,1,1
25,26,460197,U748@DOM1,C17693,C721,1,1
26,27,460711,U748@DOM1,C17693,C721,1,1
27,28,460991,U748@DOM1,C17693,C721,1,1
28,29,461842,U748@DOM1,C17693,C1567,1,1
29,30,463374,U748@DOM1,C17693,C1003,1,1
30,31,464246,U748@DOM1,C17693,C1567,1,1
31,32,464254,U748@DOM1,C17693,C1567,1,1
32,33,464260,U748@DOM1,C17693,C1567,1,1
33,34,464545,U737@DOM1,C19932,C612,1,1
34,35,466195,U737@DOM1,C19932,C457,1,1
35,36,467590,U1723@DOM1,C17693,C17600,1,1
36,37,472248,U1723@DOM1,C17693,C2519,1,1
37,38,472282,U1723@DOM1,C17693,C2519,1,1
38,39,473122,U1723@DOM1,C17693,C1275,1,1
39,40,483455,U1723@DOM1,C17693,C294,1,1
40,41,483981,U1723@DOM1,C17693,C294,1,1
41,42,485925,U1723@DOM1,C17693,C294,1,1
42,43,486443,U636@DOM1,C17693,C294,1,1
43,44,488034,U1723@DOM1,C17693,C1275,1,1
44,45,489614,U1723@DOM1,C17693,C1275,1,1
45,46,491747,U1723@DOM1,C17693,C294,1,1
46,47,578438,U737@DOM1,C19932,C1065,1,1
47,48,584551,U825@DOM1,C17693,C2669,1,1
48,49,584564,U737@DOM1,C19932,C612,1,1
