time,user,src_computer,dst_computer
150885,U620@DOM1,C17693,C1003
151036,U748@DOM1,C17693,C305
151648,U748@DOM1,C17693,C728
151993,U6115@DOM1,C17693,C1173
153792,U636@DOM1,C17693,C294
155219,U748@DOM1,C17693,C5693
155399,U748@DOM1,C17693,C152
155460,U748@DOM1,C17693,C2341
155591,U748@DOM1,C17693,C332
156658,U748@DOM1,C17693,C4280
210086,U748@DOM1,C18025,C1493
210294,U748@DOM1,C18025,C1493
210312,U748@DOM1,C18025,C1493
218418,U748@DOM1,C17693,C504
227052,U748@DOM1,C17693,C148
227408,U748@DOM1,C17693,C148
227520,U748@DOM1,C17693,C148
227780,U748@DOM1,C17693,C148
228024,U748@DOM1,C17693,C148
228150,U748@DOM1,C17693,C148
